facilityname,countrycode,floodrisk,latitude,longitude
MARATHON PETROLEUM CO - KNOXVILLE TN ASP TERMINAL,US,23.1,35.959661,-83.909117
MPLX TERMINALS LLC - LOUISVILLE ALGON KY TERMINAL,US,1.48,38.230684,-85.82979
MPLX TERMINALS LLC - LOUISVILLE KRAMERS KY TERMINAL,US,1.5,38.204774,-85.848909
MARATHON PETROLEUM CO - LOUISVILLE CANE RUN TERMINAL,US,17.53,38.129963,-85.902096
MPLX TERMINALS LLC - COVINGTON KY TERMINAL,US,21.19,39.052628,-84.499758
CATLETTSBURG REFINING LLC,US,15.05,38.377246,-82.597162
MPLX TERMINALS LLC - STEUBENVILLE OH TERMINAL,US,5.5,40.399849,-80.627373
MARATHON PETROLEUM CO - WELLSVILLE OH ASP TERMINAL,US,1.43,40.5931,-80.6619
MPLX TERMINALS LLC - MARIETTA OH TERMINAL,US,30,39.38045,-81.49454
MPLX TERMINALS LLC - BAY CITY MI TERMINAL,US,0.12,43.61854,-83.86544
MARATHON PETROLEUM CO LP,US,0.76,30.06132,-90.59353
MT. AIRY TERMINAL LLC,US,12.14,30.05392,-90.64396
TESORO - STOCKTON TERMINAL,US,2.83,37.942247,-121.334689
MPC ALASKA TERMINAL CO LLC- NORTH POLE,US,0.37,64.737264,-147.34844
BIG HEART PET BRANDS INC,US,1.94,41.02607,-76.34545
BIG HEART PET BRANDS,US,1.4,39.08669,-95.72497
TESLA INC,US,1.95,37.79983,-121.29663
OLIN CORP,US,2.22,43.081417,-79.026667
OLIN CORP CHARLESTON PLANT,US,10.5,35.30749,-84.78167
OLIN WINCHESTER LLC MAIN PLANT,US,0.8,38.888368,-90.112807
BLUE CUBE OPERATIONS LLC - PLAQUEMINE SITE,US,3.78,30.313897,-91.240605
PIONEER AMERICAS LLC (DBA OLIN CHLOR ALKALI PRODUCTS),US,3.8,30.241508,-91.105631
OLIN RUSSELLVILLE CELL TECHNOLOGIES LLC,US,18.27,35.2369,-93.1521
FREEPORT_OLIN BC,US,5.2,28.969389,-95.379528
IPSCO TUBULARS (KENTUCKY) INC,US,20.01,39.060278,-84.495833
IPSCO TUBULARS INC,US,2.78,35.949375,-89.732799
MAVERICK TUBE CORP,US,5.42,35.934288,-89.758328
Tenaris Bay City. Inc.,US,0.02,29.006275,-95.888058
IPSCO TUBULARS (KENTUCKY) INC,US,20.01,39.060278,-84.495833
IPSCO TUBULARS INC,US,2.78,35.949375,-89.732799
MAVERICK TUBE CORP,US,5.42,35.934288,-89.758328
Tenaris Bay City. Inc.,US,0.02,29.006275,-95.888058
KMA MANUFACTURING LLC,US,15.13,40.679768,-80.338674
KMA MANUFACTURING LLC,US,15.13,40.679768,-80.338674
USS-CLAIRTON PLANT,US,24.5,40.305088,-79.876911
USS MON VALLEY WORKS - EDGAR THOMSON PLANT,US,10.12,40.395902,-79.863382
US STEEL CORP GREAT LAKES WORKS,US,0.73,42.2774,-83.1103
U.S. STEEL GRANITE CITY WORKS,US,2.81,38.6954,-90.1367
USS-UPI LLC,US,0.35,38.027981,-121.872765
US Steel - Great Lakes Works,US,0.68,42.2581,-83.13859
USS-CLAIRTON PLANT,US,24.5,40.305088,-79.876911
USS MON VALLEY WORKS - EDGAR THOMSON PLANT,US,10.12,40.395902,-79.863382
US STEEL CORP GREAT LAKES WORKS,US,0.73,42.2774,-83.1103
U.S. STEEL GRANITE CITY WORKS,US,2.81,38.6954,-90.1367
USS-UPI LLC,US,0.35,38.027981,-121.872765
US Steel - Great Lakes Works,US,0.68,42.2581,-83.13859
HARSCO METALS - NATRONA,US,18.18,40.61659,-79.72219
HARSCO METALS - BRI,US,24.12,40.391532,-79.852382
HARSCO METALS - GALLATIN,US,10.67,38.758952,-84.995838
HARSCO MINERALS OF KY. LLC,US,8.27,38.727778,-85.072222
HARSCO METALS - HICKMAN,US,5.91,35.944444,-89.716667
HARSCO METALS - NYS,US,4.35,35.888456,-89.784019
HATFIELD POWER STATION,US,24.06,39.856813,-79.929504
ALLEGHENY ENERGY INC ARMSTRONG POWER STATION,US,17.74,40.9294,-79.4671
ALLEGHENY ENERGY INC R. PAUL SMITH POWER STATION,US,25.1,39.5953,-77.8271
FORT MARTIN POWER STATION,US,1.21,39.7107,-79.9275
SHERWIN-WILLIAMS CO,US,28.53,40.472291,-80.042832
SHERWIN-WILLIAMS CO,US,8.75,42.255396,-89.095155
BRISTOL METALS LLC - MUNHALL PLANT,US,30,40.409054,-79.891678
MCCONWAY & TORLEY LLC PLT 1801,US,30,40.478427,-79.961293
ARCOSA MARINE PRODUCTS INC PLT  296,US,3.76,36.220565,-87.002
ARCOSA MARINE PRODUCTS INC PLT 1245,US,20.4,37.018667,-88.494917
ARCOSA MARINE PRODUCTS INC PLT  73,US,4.06,36.228451,-89.701149
ARCOSA MARINE PRODUCTS INC. PLT  75,US,1.44,36.212292,-89.686531
ARCOSA MARINE PRODUCTS INC PLT 1038,US,2.8,30.415278,-90.157604
ARCOSA LW BR LLC GRAVELITE,US,6.49,30.534915,-91.418809
ARCOSA MARINE COMPONENTS LLC (PLANT - 1080 DBA WINTECH),US,0.95,32.550928,-93.653664
STEEL DYNAMICS INC. - TECHS DIV - GALVTECH PLANT,US,6.18,40.39274,-79.93293
SWVA INC,US,22.73,38.425484,-82.433269
STEEL DYNAMICS INC.,US,2.44,38.3229,-85.673182
SWVA. INC.,US,22.73,38.4265,-82.42532
SHENANGO INC,US,15.87,40.496083,-80.078032
DTE ELECTRIC CO-BELLE RIVER POWER PLANT,US,3.83,42.772523,-82.512273
DTE ELECTRIC CO - TRENTON CHANNEL POWER PLANT,US,3.1,42.1237,-83.1812
EES COKE BATTERY LLC,US,0.73,42.2811,-83.1113
DTE STONEMAN LLC GENERATING STATION,US,25.11,42.7083,-90.9853
DTE East China,US,1.37,42.774,-82.4818
Shenango Incorporated,US,15.87,40.4967,-80.0756
DTE Calvert City. LLC,US,5.67,37.0467,-88.3506
DTE Stockton,US,10.06,37.9416,-121.3273
Conners Creek,US,1.14,42.3597,-82.9611
St. Clair,US,6.19,42.7642,-82.4719
Belle River,US,1.84,42.7748,-82.4945
HALLIBURTON WILLISTON BAROID,US,0.6,48.16141,-103.6048
HALLIBURTON LAROSE GRINDING PLANT,US,1.34,29.56677,-90.38416
MULTI-CHEM GROUP GEISMAR LA FACILITY,US,5.07,30.22888,-91.02374
HALLIBURTON BOSSIER CITY FIELD CAMP,US,2.74,32.528415,-93.666502
HALLIBURTON GRAND JUNCTION FIELD CAMP,US,1.55,39.06281,-108.46031
CATERPILLAR REMANUFACTURING DRIVETRAIN LLC,US,0.23,46.87732,-96.92402
CATERPILLAR INC RUBBER PROCESS FACILITY,US,0.07,40.673026,-89.614811
CATERPILLAR INC. - NLR,US,2.06,34.747667,-92.159972
PIERCE MANUFACTURING INC,US,0.02,44.243301,-88.4701
MCNEILUS TRUCK & MANUFACTURING INC,US,0.01,33.41488,-111.98834
DOMTAR PAPER CO LLC-PLYMOUTH MILL,US,7.63,35.861716,-76.779683
DOMTAR PAPER CO LLC HAWESVILLE MILL,US,1.68,37.894847,-86.685793
DOMTAR AW LLC NEKOOSA MILL,US,3.26,44.3143,-89.8962
Domtar Paper Company LLC - Plymouth,US,7.63,35.8628,-76.7831
HOLLYFRONTIER TULSA REFINING LLC EAST FACILITY,US,3.42,36.1184,-96.0011
HOLLYFRONTIER TULSA REFINING WEST FACILITY,US,2.6,36.1396,-96.0149
TRINITY CONTAINERS LLC PLANT NO 1593,US,0.19,46.87685,-96.89212
TRINITY MARINE PRODUCTS INC PLT 48,US,8.72,30.38831,-91.31271
EMERSON POWER TRANSMISSION CORP GEARCO,US,22.41,38.643056,-83.740278
EMERSON ELECTRIC CO,US,0.02,36.24594,-90.06629
EMERSON AUTOMATION SOLUTIONS,US,3.2,26.191419,-97.61862
GRACO INC-ANOKA,US,1.31,45.22151,-93.41706
GRACO MINNESOTA INC - MINNEAPOLIS,US,7.77,44.99746,-93.27053
GRACO INC SIOUX FALLS,US,0.02,43.58454,-96.72139
INTERNATIONAL PAPER- NEW BERN MILL,US,0.46,35.212247,-77.114823
FAULKVILLE CHIPMILL,US,2.25,32.14831,-81.35617
INTERNATIONAL PAPER CO,US,4.24,40.62363,-91.33036
TIN INC (DBA TEMPLE INLAND WEST MEMPHIS),US,2.52,35.15615,-90.17923
International Paper - Roanoke Rapids Landfill,US,4.63,36.462894,-77.636997
MULTI-CHEM GROUP-GARDEN CITY,US,0.13,37.98943,-100.92618
MULTI-CHEM GROUP LLC,US,2.65,41.57002,-109.24191
BENTONITE PERFORMANCE MINERALS-COLONY,US,1.16,44.68109,-103.8518
BLUESCOPE BUILDINGS N.A. INC.,US,3.91,39.718891,-94.89196
WABASH NATIONAL,US,1.09,45.98136,-94.36867
GARSITE LLC,US,3.4,39.08918,-94.63532
EAGLE NATRIUM LLC,US,30,39.747206,-80.851833
WESTLAKE PVC CORP,US,5.67,37.045833,-88.350556
WESTLAKE VINYLS INC,US,4.67,37.051111,-88.334167
WESTLAKE VINYLS CO,US,3.26,30.208604,-91.011128
AXIALL LLC,US,5.14,30.262255,-91.185837
EAGLE US 2 LLC - LONGVIEW,US,4.49,46.132118,-122.986557
Axiall. LLC,US,5.14,30.265426,-91.18419
WESTLAKE VINYLS INC,US,6.67,37.04659,-88.32708
TYCO FIRE PRODUCTS LP,US,5.76,45.09713,-87.61406
CAMPBELL SOUP SUPPLY CO LLC,US,12.96,41.39771,-84.10834
SACRAMENTO- CAMPBELL SOUP SUPPLY CO,US,0.08,38.510556,-121.467222
ARMSTRONG WORLD INDUSTRIES INC MILLWOOD WV,US,2.64,38.90845,-81.83725
ARMSTRONG WORLD INDUSTRIES INC,US,5.83,45.839765,-122.819295
ANDRITZ INC.,US,8.18,41.203662,-76.791819
SPX TRANSFORMER SOLUTIONS,US,0.52,32.82794,-96.88244
STARMARK CABINETRY,US,0.02,43.589358,-96.718782
MASTERBRAND CABINETS INC-GRANTS PASS OPERATIONS,US,5.67,42.432983,-123.319699
INSTEEL WIRE PRODUCTS,US,5.46,36.558472,-89.210306
MASTER HALCO,US,2.88,35.106306,-90.195806
MASTER HALCO,US,2.88,35.106306,-90.195806
GELEST INC,US,1.25,40.17918,-74.76473
UGI DEVELOPMENT CO HUNLOCK CREEK ENERGY CENTER,US,10.15,41.201997,-76.070093
Hunlock Unit 4,US,10.15,41.2033,-76.0683
Hunlock Creek Energy Center,US,10.15,41.2033,-76.0683
ROHM & HAAS CHEMICALS LLC,US,0.65,40.09384,-74.87413
UNION CARBIDE CORP SOUTH CHARLESTON FACILITY,US,15.75,38.3693,-81.6831
ROHM & HAAS - LOUISVILLE PLANT,US,1.5,38.2123,-85.8481
ST CHARLES OPERATIONS (TAFT/STAR) UNION CARBIDE CORP,US,1.15,29.9829,-90.4437
THE DOW CHEMICAL CO GRAND BAYOU OPERATIONS,US,7.86,30.008388,-91.110964
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,US,2.63,30.320903,-91.239015
KIMBERLY-CLARK CORP MARINETTE,US,4.47,45.10477,-87.64984
U S SMOKELESS TOBACCO CO,US,2.38,36.16855,-86.78832
AGILENT TECHNOLOGIES INC,US,16.18,38.652835,-121.186949
VIRGINIA CONCRETE-SOUTHWEST DC PLANT,US,2.69,38.86822,-77.00917
VULCAN MATERIALS CO,US,5.3,33.455686,-111.85783
VULCAN MATERIALS CO,US,0.84,33.398288,-112.34045
BELLEMEADE POWER STATION,US,4.28,37.496667,-77.432222
CHESTERFIELD POWER STATION,US,1.05,37.3821,-77.3779
DOMINION ENERGY SOUTH CAROLINA - WATEREE STATION,US,7.8,33.826704,-80.622177
DOMINION ENERGY SOUTH CAROLINA - JASPER GENERATING STATION,US,1.2,32.359454,-81.123987
McMeekin,US,1.69,34.0533,-81.2178
Urquhart,US,6.97,33.435,-81.9111
Dominion Energy Wexpro - Central Western Overthrust (Prod),US,3.03,40.76497,-111.92439
Dominion Energy Wexpro - Green River Basin (Prod),US,3.03,40.76497,-111.92439
Dominion Energy Wexpro - Green River Basin (Gath),US,3.03,40.76497,-111.92439
Dominion Energy Questar - Transmission Pipelines (TPL),US,3.03,40.76497,-111.92439
TENNECO AUTOMOTIVE OPERATING CO INC.,US,4.21,39.137106,-94.553793
AGRIUM US INC,US,1.47,36.53134,-89.56908
AGRIUM US INC KENNEWICK FERTILIZER OPERATION,US,1.02,46.165957,-119.017218
GREEN PLAINS MADISON LLC,US,6.2,38.67995,-90.17185
GREEN PLAINS CENTRAL CITY LLC,US,0.16,41.1111,-97.9727
COMMERCIAL VEHICLE GROUP,US,1.53,45.562411,-122.703874
CELANESE ACETATE LLC - CELCO PLANT,US,17.66,37.3451,-80.76293
CELANESE LTD BAY CITY PLANT,US,0.22,28.861921,-96.020763
Celanese Acetate LLC - Manufacturing Processes,US,17.66,37.3451,-80.764
NORTH AMERICAN GALVANIZING COMPANY -WHEELING,US,30,40.01542,-80.73439
AZZ GALVANIZING - CHATTANOOGA LLC,US,11.65,35.0483,-85.63824
AZZ GALVANIZING SERVICES-MOSS POINT,US,2.83,30.433333,-88.541667
HOBSON GALVANIZING INC,US,6.92,29.84316,-90.03898
AZZ GALVANIZING - MORGAN CITY,US,2.98,29.691041,-91.269827
WESTSIDE GALVANIZING SERVICES INC,US,4.61,30.499318,-91.226875
AZZ GALVANIZING-TULSA,US,2.53,36.133313,-96.014564
DIXIE INDUSTRIES,US,5.68,35.07903,-85.25063
DIXIE INDUSTRIES,US,5.85,35.03084,-85.28528
HITACHI ENERGY USA INC.,US,5.93,38.59975,-92.15561
HITACHI ENERGY USA INC.,US,5.93,38.59975,-92.15561
LEAR CORP,US,24.07,39.967781,-81.992231
BWXT NUCLEAR OPERATIONS GROUP INC.,US,1.78,37.408549,-79.051827
GRIFFIN PIPE PRODUCTS CO,US,30,37.420815,-79.140968
FORTERRA CONCRETE INDUSTRIES INC. - LOUISVILLE,US,1.5,38.20362,-85.84253
FORTERRA PIPE & PRECAST - WEST DES MOINES,US,5.47,41.566763,-93.717941
FORTERRA CONCRETE PRODUCTS - HUMBOLDT,US,2.03,42.67957,-94.20721
FORTERRA CONCRETE PRODUCTS - SHAKOPEE,US,2.39,44.793932,-93.428003
FORTERRA CONCRETE PRODUCTS - BONNER SPRINGS,US,2.89,39.05609,-94.86007
FORTERRA PIPE & PRECAST - LAPLACE,US,1.99,30.05261,-90.46986
FORTERRA PIPE & PRECAST - NEW ORLEANS,US,1.2,30.018019,-89.930914
FORTERRA PIPE & PRECAST - SAINT MARTINVILLE,US,2.29,30.123906,-91.834763
FORTERRA PIPE & PRECAST - WEST MEMPHIS,US,3.04,35.13548,-90.17962
FORTERRA PIPE & PRECAST - AUSTIN,US,0.06,30.25529,-97.69279
FORTERRA PRECAST CONCEPTS INC,US,2.03,39.09898,-108.62481
HAVERHILL COKE CO LLC,US,1.82,38.5973,-82.8271
GATEWAY ENERGY & COKE CO,US,6.8,38.69693,-90.130569
TOYOTA MOTOR MANUFACTURING WEST VIRGINIA INC,US,2.06,38.591986,-82.00236
TOYOTA MOTOR MANUFACTURING WEST VIRGINIA INC,US,2.06,38.591986,-82.00236
TOYOTA MOTOR MANUFACTURING WEST VIRGINIA INC,US,2.06,38.591986,-82.00236
ZOETIS LLC,US,4.09,39.353336,-81.313411
HINO MOTORS MANUFACTURING USA INC.,US,9.34,39.209743,-81.524367
HINO MOTORS MANUFACTURING USA INC,US,13.04,39.39295,-81.47016
HINO MOTORS MFG. USA INC.,US,0.58,35.17575,-90.258556
HINO MOTORS MANUFACTURING USA INC.,US,9.34,39.209743,-81.524367
HINO MOTORS MANUFACTURING USA INC,US,13.04,39.39295,-81.47016
HINO MOTORS MFG. USA INC.,US,0.58,35.17575,-90.258556
NORTHWEST PIPE CO,US,7.96,39.25241,-81.68408
NORTHWEST PIPE CO,US,1.03,32.51973,-93.72573
PERMALOK A NORTHWEST PIPE CO,US,0.01,40.75473,-111.905361
NORTHWEST PIPE CO,US,1.02,45.608469,-122.77315
WEYERHAEUSER NR CO - LUMBER TECHNOLOGIES,US,3.58,35.858814,-76.790571
WEYERHAEUSER NR,US,0.38,48.23014,-114.28748
WEYERHAEUSER NR - LONGVIEW LUMBER,US,5.41,46.125813,-122.970958
DAIMLER TRUCKS NA LLC,US,3.03,45.572771,-122.715265
DAIMLER TRUCKS NA LLC,US,3.03,45.572771,-122.715265
DUKE ENERGY PROGRESS LLC - H F LEE ENERGY COMPLEX,US,7.6,35.37991,-78.087688
DUKE ENERGY PROGRESS INC  - CAPE FEAR STEAM ELECTRIC PLANT,US,8.4,35.595,-79.0492
DUKE ENERGY CAROLINAS LLC - BUCK STEAM STATION,US,7.58,35.7133,-80.3767
DUKE ENERGY PROGRESS LLC - L V SUTTON ENERGY COMPLEX,US,1.4,34.283317,-77.985226
DUKE ENERGY KENTUCKY INC. - EAST BEND GENERATING STATION,US,4.93,38.904444,-84.848333
DUKE ENERGY OHIO. INC. - W.C. BECKJORD STATION,US,27.84,38.9914,-84.29757
DUKE ENERGY INDIANA INC-GALLAGHER GENERATING STATION,US,8.84,38.2636,-85.8381
DUKE ENERGY INDIANA INC. - EDWARDSPORT IGCC,US,2.38,38.8067,-87.2472
DUKE ENERGY INDIANA INC - WABASH RIVER GENERATING STATION,US,0.72,39.53,-87.4247
Cape Fear Steam Electric Plant,US,8.4,35.595,-79.0492
Edwardsport,US,2.38,38.8067,-87.2472
Duke Energy Kentucky Gas Operation,US,11.09,39.106635,-84.536323
INGREDION INC,US,13.86,41.969368,-91.665804
INGREDION,US,2.47,40.564988,-89.72871
INGREDION INC,US,4.41,39.125992,-94.57328
PENTAIR  - KANSAS CITY OPERATION,US,6.07,39.08783,-94.67105
KEEBLER CO,US,2.81,39.13886,-84.39379
KELLOGG CO,US,3.96,39.1466,-94.62417
JOHN DEERE WATERLOO WORKS DRIVETRAIN OPERATIONS AND FOUNDRY,US,26.08,42.5018,-92.3554
JOHN DEERE OTTUMWA WORKS,US,0.44,41.00494,-92.41417
JOHN DEERE HARVESTER WORKS EAST MOLINE,US,4.46,41.527287,-90.434681
JOHN DEERE SEEDING & CYLINDER,US,4.89,41.50845,-90.53296
JOHN DEERE COFFEYVILLE WORKS A DIV OF DEERE & COMPAN,US,0.65,37.097,-95.58611
JOHN DEERE THIBODAUX,US,2.08,29.80743,-90.82977
JOHN DEERE FNDRY WATERLOO,US,26.08,42.501944,-92.357778
BUTTERBALL LLC,US,1.08,35.42228,-93.730774
BUTTERBALL. LLC,US,1.04,35.485194,-93.819694
DENSO MANUFACTURING ARKANSAS,US,5.96,35.700778,-90.038139
DENSO MANUFACTURING ARKANSAS,US,5.96,35.700778,-90.038139
ELKHART PLASTICS INC.,US,0.06,39.55929,-105.04184
HAMMOND STEAM ELECTRIC GENERATING PLANT,US,3.25,34.249889,-85.345944
KRAFT STEAM ELECTRIC GENERATING PLANT,US,3.89,32.149444,-81.145139
MITCHELL STEAM ELECTRIC GENERATING PLANT,US,10.4,31.444474,-84.134486
E. C. GASTON ELECTRIC GENERATING PLANT,US,1.18,33.243803,-86.459093
GORGAS STEAM PLANT,US,17.81,33.644855,-87.19986
GADSDEN STEAM PLANT,US,12.93,34.01272,-85.97005
BARRY STEAM PLANT,US,3.32,31.0043,-88.0141
GREENE COUNTY STEAM PLANT,US,9.73,32.6023,-87.7859
MISSISSIPPI POWER CO - PLANT DANIEL,US,0.47,30.530331,-88.556208
Kraft,US,3.89,32.1486,-81.1458
SONOCO PRODUCTS CO,US,8.42,42.1936,-72.60794
SONOCO PRODUCTS CO,US,5.6,36.01745,-83.20576
SONOCO FLEXIBLE PACKAGING,US,3.46,39.56484,-84.31567
SONOCO PRODUCTS CO,US,10,42.450986,-89.07421
STATE INDUSTRIES INC.,US,13.68,36.269707,-87.066705
CENTURY ALUMINUM OF KENTUCKY,US,5.89,37.933024,-86.79153
CENTURY ALUMINUM OF KENTUCKY,US,2.87,37.94499,-86.78777
KOSMOS CEMENT CO LLC,US,3.39,38.034696,-85.90601
CENTRAL PLAINS CEMENT CO - SUGAR CREEK PLANT,US,16.08,39.144325,-94.416723
WOODWARD INC,US,1.67,42.304209,-89.055549
ELECTROLUX HOME PRODUCTS INC.,US,3.19,35.06074,-90.154989
CHART ENERGY & CHEMICALS INC.,US,0.54,29.927983,-91.829285
ASTEC,US,2.85,34.98409,-85.28828
ROADTEC INC (RIVERSIDE DRIVE PLANT),US,6.68,35.076118,-85.259148
ASTEC - MANUFACTURERS ROAD,US,27.84,35.054489,-85.329048
ASTEC INC,US,11.85,34.996368,-85.300491
HEATEC INC.,US,10.85,34.988217,-85.309048
DILLMAN EQUIPMENT INC,US,7.4,43.067599,-91.150625
RESOLUTE FP US INC COOSA PINES OPERATIONS,US,2.11,33.326675,-86.35787
RESOLUTE FP US INC - CALHOUN OPERATIONS,US,3.43,35.2963,-84.7566
CORTEVA FREEPORT OPERATIONS,US,0.26,28.95587,-95.33697
PLATTE CHEMICAL CO,US,0.36,33.416667,-91
ACTAGRO LLC,US,0.44,35.690028,-89.989194
LOVELAND PRODUCTS,US,1.09,40.449722,-104.779722
VERTEX CHEMICAL CORP,US,3.63,41.804528,-90.234694
HAWKINS INC. - CAMANCHE,US,0.62,41.803379,-90.245581
HAWKINS WATER TREATMENT GROUP - RED ROCK,US,9.98,44.898528,-93.017
HAWKINS INC. - DUPO,US,2.8,38.523114,-90.213447
GRANITE CONSTRUCTION CO,US,2.22,48.018055,-122.181946
AAR LANDING GEAR SERVICES,US,4.31,25.863889,-80.349167
MOSAIC PHOSPHATES CO FAUSTINA PLANT,US,11.47,30.085,-90.914722
MOSAIC FERTILIZER LLC UNCLE SAM PLANT,US,5.71,30.019619,-90.769063
Mosaic Uncle Sam Facility,US,5.71,30.02,-90.77
Tampa Port Services,US,6.5,30.00583,-90.877047
SYPRIS TECHNOLOGIES INC,US,1.48,38.24961,-85.79873
HIBBARD RENEWABLE ENERGY CENTER,US,1.8,46.735741,-92.152365
Hibbard Energy Center,US,1.8,46.7356,-92.1531
Rapids Energy Center,US,5.91,47.263975,-93.62817
THE ANDERSONS INC. - SERGEANT BLUFF,US,0.07,42.310651,-96.361449
THE ANDERSONS INC - SIOUX CITY,US,5.17,42.48715,-96.39377
AMVAC CHEMICAL CORP,US,5.37,39.83192,-91.432436
WACKER CHEMICAL CORP POLYMERS DIV,US,2.67,37.044796,-88.349313
ROTEX GLOBAL LLC,US,11.1,39.16151,-84.5304
KOMATSU AMERICA CORP,US,4.33,40.708333,-89.561878
KOMATSU AMERICA CORP,US,4.33,40.708333,-89.561878
MARATHON ELECTRIC-REGAL BELOIT CORP,US,0.57,35.928446,-89.860452
VALERO REFINING CO - TENNESSEE L.L.C.,US,2.02,35.085843,-90.083385
VALERO LOUISVILLE TERMINAL,US,0.49,38.22342,-85.83375
PREMCOR HARTFORD DISTRIBUTION CENTER,US,2.65,38.835556,-90.086111
VALERO REFINING - NEW ORLEANS LLC,US,3.3,29.985278,-90.392778
VALERO REFINING - MERAUX LLC MERAUX REFINERY,US,2.78,29.930517,-89.940643
VALERO PARTNERS LA LLC- TERMINAL,US,9.32,29.981281,-90.392747
VALERO PARTNERS LLC,US,2.78,29.930517,-89.940643
VALERO DONALDSONVILLE ASPHALT TERMINAL,US,3.64,30.100477,-90.918154
VALERO THREE RIVERS REFINERY,US,6.53,28.456667,-98.190277
VALERO ENERGY PARTNERS THREE  RIVERS,US,6.53,28.456667,-98.190277
CONAGRA FOODS PACKAGED FOODS LLC - COUNCIL BLUFFS,US,0.4,41.25153,-95.85069
ConAgra Foods Inc.,US,13.42,41.01228,-76.85868
ALON REFINING KROTZ SPRINGS INC,US,2.98,30.526504,-91.748383
CAMERON INTERNATIONAL CORP,US,3.04,29.707138,-91.261606
CAMERON INTERNATIONAL CORP,US,3.9,29.680325,-91.277687
SCHLUMBERGER ROSHARON CAMPUS,US,0.01,29.368373,-95.441468
CF INDUSTRIES NITROGEN LLC-PORT NEAL NITROGEN COMPLEX,US,1.24,42.32786,-96.36489
CF INDUSTRIES NITROGEN LLC,US,1.72,30.098563,-90.95599
TERRA INTERNATIONAL (OKLAHOMA) LLC.,US,0.74,36.443639,-99.366
TERRA NITROGEN L.P. VERDIGRIS PLANT,US,17.11,36.233516,-95.719098
CF INDUSTRIES NITROGEN. LLC - DONALDSONVILLE NITROGEN COMPLEX,US,3.41,30.086917,-90.957861
CF Industries Nitrogen. LLC - Yazoo City Facility,US,3.26,32.928056,-90.407222
LOUISVILLE GAS & ELECTRIC CO. - TRIMBLE COUNTY STATION,US,4.82,38.584751,-85.411645
LOUISVILLE GAS & ELECTRIC CO - CANE RUN STATION,US,1.51,38.1815,-85.8868
LOUISVILLE GAS & ELECTRIC CO. - MILL CREEK STATION,US,0.49,38.0501,-85.9076
Paddys Run,US,1.5,38.2147,-85.8453
VERTEX REFINING LA LLC,US,5.36,29.90529,-90.10199
TXI-WILMER READY MIX,US,3.15,32.609787,-96.639265
TXI-CORINTH STREET READY MIX,US,0.98,32.761231,-96.793227
TXI-SPANGLER CTM,US,0.74,32.87262,-96.91316
TXI-SPANGLER ROAD READY MIX,US,0.74,32.87268,-96.91317
BELTON READY MIX,US,0.1,31.053095,-97.441693
TXI - PORTABLE FREEPORT PTF,US,1.85,28.97637,-95.325041
TXI-GREEN PORTABLE READY MIX,US,0.64,30.236588,-97.612875
TXI-GREEN READY MIX,US,0.39,30.22781,-97.61208
MARTIN MARIETTA BRIGHTON READY MIX,US,1.68,40.014029,-104.818395
MARTIN MARIETTA GREELEY 35TH AVE,US,0.13,40.44849,-104.7348
SOUTH VALLEY MATERIALS INC-HANFORD RMC,US,0.08,36.3135,-119.59773
CALAVERAS MATERIALS INC - LATHROP RMC,US,0.14,37.82639,-121.26596
VALLOUREC STAR LP,US,12.12,35.793085,-95.302058
ERAMET MARIETTA INC,US,5.09,39.372906,-81.523579
ROLL FORMING CORP,US,1.59,38.327013,-85.669185
FEDERAL CARTRIDGE CO-CCI,US,5.36,46.396389,-117.035004
FEDERAL CARTRIDGE COMPANY-OROVILLE OPERATIONS,US,2.2,39.49889,-121.5678
F B Culley Generating Station,US,3.08,37.91,-87.3267
Indiana Gas Company,US,8.03,37.973424,-87.575423
Vectren Energy Delivery of Ohio,US,8.03,37.973424,-87.575423
BC COBB GENERATING PLANT,US,1.36,43.254978,-86.241827
Dan E Karn,US,2.2,43.6425,-83.8431
DE KARN JC WEADOCK GENERATING PLANT,US,2.2,43.642,-83.8421
SAF-HOLLAND INC DUMAS,US,0.06,33.865391,-91.486523
PRAIRIE CREEK GENERATING STATION,US,3.93,41.9441,-91.6392
BURLINGTON GENERATING STATION,US,1.9,40.7411,-91.1171
M L KAPP GENERATING STATION,US,3.63,41.80768,-90.23412
NELSON DEWEY GENERATING STATIO N,US,11.51,42.722872,-91.008333
Nelson Dewey,US,11.51,42.7225,-91.0085
Interstate Power & Light Gas Distribution,US,19.36,41.97704,-91.66872
Rock River,US,8.64,42.5831,-89.0292
Interstate Power & Light - MN Gas Distribution,US,13.86,41.97464,-91.659066
REG SENECA LLC,US,6.58,41.306698,-88.590197
REG GEISMAR LLC,US,1.1,30.203595,-91.009457
REG GRAYS HARBOR LLC,US,0.82,46.968086,-123.854139
DIAMOND ANIMAL HEALTH,US,1.54,41.561225,-93.529777
MCDERMOTT INC,US,0.24,29.650488,-91.1001
JEBRO INC,US,2.25,42.431445,-96.382209
KNIFE RIVER LITTLE FALLS SOUTH READY MIX,US,0.01,45.95692,-94.36323
KNIFE RIVER CORP N CENTRAL BAXTER,US,1.26,46.3492,-94.23913
CONCRETE MATERIALS COMPANY-YANKTON,US,0.08,42.887101,-97.355848
JTL GROUP-KALISPELL DBA KNIFE RIVER - KALISPELL,US,0.18,48.262319,-114.25542
