facilityname,countrycode,floodrisk,latitude,longitude
MOL Magyar Olaj- és Gázipari Nyrt. Algy_-1011H CH termel_ kút,HU,3.16,46.182751,20.1248
MOL Magyar Olaj- és Gázipari Nyrt. Algy_-1009H CH termel_ kút,HU,0.97,46.2971,20.1815
MOL Magyar Olaj- és Gázipari Nyrt. Algy_-192 CH termel_ kút,HU,0.91,46.2934,20.184
MOL Magyar Olaj- és Gázipari Nyrt. Ferencszállás-66 (F-66) CH termel_ kút,HU,1.52,46.1704,20.3293
MOL Magyar Olaj- és Gázipari Nyrt.Algy_ 302 CH termel_ kút,HU,1.01,46.300695,20.181019
MOL Magyar Olaj- és Gázipari Nyrt. Algy_-550 CH termel_ kút,HU,1.01,46.3009,20.1819
MOL Magyar Olaj- és Gázipari Nyrt. Batt-K-151 CH termel_ kút,HU,0.19,46.268919,21.079097
MOL Nyrt.,HU,2.96,47.514953,20.718249
Nagykör_-III gy_jt_állomás,HU,1.18,47.239658,20.393718
FGSZ Földgázszállító Zártkör_en M_köd_ Részvénytársaság,HU,1.33,47.872612,17.209955
MOL Magyar Olaj- és Gázipari Nyrt.,HU,2.17,46.2464,20.25464
MOL Magyar Olaj- és Gázipari Nyrt.,HU,2.88,46.29779,20.23183
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.97,46.30667,20.1908
MOL Magyar Olaj- és Gázipari Nyrt.,HU,1.01,46.30389,20.17625
MOL Magyar Olaj- és Gázipari Nyrt.,HU,3.05,46.31518,20.1731
MOL Magyar Olaj- és Gázipari Nyrt.,HU,3.04,46.30145,20.17395
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.44,46.2362,20.09158
MOL Magyar Olaj- és Gázipari Nyrt.,HU,4.17,46.25705,20.25766
MOL Magyar Olaj- és Gázipari Nyrt.,HU,1.01,46.30236,20.18219
MOL Magyar Olaj- és Gázipari Nyrt.,HU,5.85,46.2726,20.21748
MOL Magyar Olaj- és Gázipari Nyrt.,HU,3.87,46.27875,20.22406
MOL Magyar Olaj- és Gázipari Nyrt.,HU,1.52,46.21534,20.28563
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.58,46.23597,20.07187
MOL Magyar Olaj- és Gázipari Nyrt.,HU,3.87,46.27773,20.22229
MOL Magyar Olaj- és Gázipari Nyrt.,HU,4.16,46.26589,20.22861
MOL Magyar Olaj- és Gázipari Nyrt.,HU,3.88,46.2848,20.22923
MOL Magyar Olaj- és Gázipari Nyrt.,HU,3.87,46.28022,20.21677
MOL Magyar Olaj- és Gázipari Nyrt.,HU,3.16,46.27177,20.23533
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.66,46.23185,20.24598
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.52,46.21944,20.26845
MOL Magyar Olaj- és Gázipari Nyrt.,HU,1.86,46.28409,20.21046
MOL Magyar Olaj- és Gázipari Nyrt.,HU,5.48,46.23613,20.23654
MOL Magyar Olaj- és Gázipari Nyrt.,HU,2.05,46.31172,20.17965
MOL Magyar Olaj- és Gázipari Nyrt.,HU,2.17,46.24397,20.25705
MOL Magyar Olaj- és Gázipari Nyrt.,HU,1.86,46.3077,20.2145
MOL Magyar Olaj- és Gázipari Nyrt.,HU,4.08,46.31363,20.23507
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.28,46.24623,21.05837
MOL Magyar Olaj- és Gázipari Nyrt.,HU,1.95,46.26298,21.05984
FGSZ Földgázszállító Zártkör_en M_köd_ Részvénytársaság,HU,0.49,47.882139,20.959487
FGSZ Zrt.,HU,0.51,47.881256,20.998024
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.91,46.298841,20.188964
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.04,46.970206,20.650468
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.03,46.971292,20.343648
MOL Magyar Olaj- és Gázipari Nyrt.,HU,4.17,46.266669,20.241928
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.95,46.308499,20.192997
FGSZ Zrt.,HU,1.33,47.872612,17.209955
MOL Magyar Olaj- és Gázipari Nyrt.,HU,0.92,46.978962,20.658066
Imerys Magyarország T_z_llóanyaggyártó kft,HU,0.17,46.410979,20.371287
Imerys T_zállóanyaggyártó Kft.,HU,0.17,46.410979,20.371287
Budapesti Er_m_ Zrt.,HU,0.89,47.463478,19.055637
Mifa Aluminium B.V.,NL,3.16,51.38578,6.1552
Magyar Suzuki Zrt.,HU,2.97,47.768806,18.745863
PPG Coatings B.V.,NL,0.47,51.88328,5.41262
Aufwind Schmack Els_ Biogáz Szolgáltató Kft.,HU,0.03,46.857621,20.623795
CENTRALE GEOTERMICA CASAGLIA,IT,3.48,44.878333,11.5575
STABILIMENTO DI MAGENTA,IT,0.09,45.45,8.833333
STABILIMENTO DI MAGENTA,IT,0.09,45.45,8.833333
ARKEMA Srl (ex-Cray Valley Italia),IT,3.5,44.8961,10.5621
Evonik Italia S.r.l.,IT,0.34,45.4128,9.5469
Unilever Italia Manufacturing S.r.l.,IT,0.31,45.1746,11.1549
EVOMEK - Fusione di leghe di alluminio,IT,2.08,44.8009,12.1725
YARA ITALIA SPA - STABILIMENTO DI FERRARA,IT,1.18,44.856,11.5921
YARA ITALIA SPA - STABILIMENTO DI FERRARA,IT,1.18,44.856,11.5921
Stabilimento di Villadose,IT,2.22,45.0608,11.9261
SIT SpA - stabilimento di Rovigo,IT,2.14,45.0808,11.7483
ENEL PRODUZIONE SPA - UB NORD OVEST - C.LE ALESSANDRIA,IT,3.27,44.940555,8.607222
ENEL PRODUZIONE SPA - UB NORD OVEST - C.LE CARPI,IT,1.51,44.844444,10.901666
ENEL PRODUZIONE S.P.A. - POWER PLANT NORTH C.LE LA CASELLA,IT,3.61,45.0899,9.4794
Pergen VOF,NL,1.07,51.8858,4.36753
ExxonMobil Chemical Holland BV (ROP van RPI),NL,0.34,51.92881,4.1848
ExxonMobil Chemical Holland BV (ROP van RPI),NL,0.34,51.92881,4.1848
Air Products Nederland BV (Pernis),NL,2.08,51.88852,4.33004
Air Products Nederland BV (Pernis),NL,2.08,51.88852,4.33004
Arkema B.V. location Rotterdam,NL,1.47,51.88986,4.33577
Arkema B.V. location Rotterdam,NL,1.47,51.88986,4.33577
Lyondell Chemical Nederland Ltd.,NL,0.03,51.88203,4.25287
Prysmian Netherlands B.V.,NL,1.12,51.99568,4.3643
Air Products Nederland BV (Botlek),NL,0.05,51.87894,4.25934
Archer Daniels Midland Europoort BV (ADM),NL,1.49,51.95596,4.12249
BASF Nederland B.V. De Meern,NL,0.59,52.07471,5.05391
Draad Nijmegen BV (onder de naam Smit Draad),NL,2.44,51.8423,5.81017
Yara Vlaardingen BV,NL,4.21,51.89878,4.32565
Yara Vlaardingen BV,NL,4.21,51.89878,4.32565
SUEZ Schiedam,NL,0.67,51.90236,4.38923
Renewi Nederland BV,NL,1.87,51.88545,4.52289
PPG Deco Polska Sp. z o.o.,PL,0.27,51.12532425,17.10090828
3M Wroc_aw (IATD),PL,0.45,51.125,17.125
Händelöverket,SE,0.26,58.61956,16.23333
Skeppsdockan,SE,0.33,58.59533,16.19674
Ingelsta HVC,SE,1.33,58.61095,16.171072
Västerbyholm. kolaskeupplag,SE,3.33,58.62067,16.19841
Bergrum 8,SE,0.26,58.61833,16.2285
Bergrum 7,SE,0.26,58.62079,16.23124
Bergrum 1-6,SE,0.26,58.61833,16.2285
FRESENIUS KABI. BRUNNAFABRIKEN,SE,1.74,59.51364,17.73935
Skutskärs Bruk,SE,0.07,60.64365,17.38983
Stora Cells Barkdeponi,SE,2.28,60.62495,17.38271
Stora Cells Barkdeponi,SE,2.28,60.62495993,17.38272197
FM Mattsson. Södra fabriken,SE,0.89,61.02441,14.48997
Ostnor AB. Norra Fabriken,SE,0.76,61.02671,14.49543
Volvo Lastvagnar AB. Umeå,SE,1.8,63.82296,20.21857
Smurfit Kappa Kraftliner Piteå,SE,1.54,65.31475,21.44037
